"MSSubClass","MSZoning","LotArea","Street","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","_stFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotalSF","Total_Bathrooms","Total_porch_sf","haspool","hasgarage","hasbsmt","hasfireplace"
20,0,9200,0,1,0,0,2,0,1,0,0,0,0,5,6,1975,1980,1,0,0,0,0.00,0,0,1,1.00,0.00,1.00,5.00,3.00,938,0,1,0,0.00,938,938,1,1,0,3,0,5,0,0,1.00,0.00,1,308,0.00,0.00,0,7,2008,0,0,130250,1876,2,145,0,1,1,0
20,0,7945,0,0,0,0,0,0,0,0,0,0,0,5,6,1959,1959,0,0,6,3,0.00,0,0,1,0.00,0.00,0.00,2.00,3.00,1150,0,0,0,1.00,1150,1150,1,1,0,3,0,6,0,0,0.00,1.00,1,300,0.00,0.00,0,5,2006,0,0,141000,2300,2,0,0,1,1,0
120,0,7658,0,0,0,0,0,0,6,0,0,1,0,9,5,2005,2005,1,0,2,1,1.00,2,0,0,2.00,0.00,0.00,1.00,0.00,1752,0,0,0,0.00,1752,1752,1,2,0,2,2,6,0,1,0.00,1.00,2,576,0.00,0.00,0,2,2010,0,0,319900,3504,3,278,0,1,1,1
50,0,12822,0,1,0,0,2,0,12,0,0,0,2,7,5,2003,2003,0,0,0,0,0.00,1,0,0,2.00,0.00,0.00,1.00,0.00,1434,0,0,0,0.00,1518,2149,1,1,1,1,1,6,0,1,0.00,1.00,2,670,0.00,0.00,0,8,2009,0,2,239686,3583,3,409,0,1,1,1
20,2,11096,0,0,0,0,0,0,4,0,0,0,0,8,5,2006,2006,0,0,0,0,0.00,1,0,0,1.00,0.00,1.00,1.00,0.00,1656,0,0,0,0.00,1656,1656,0,2,0,3,1,7,0,0,0.00,1.00,3,826,0.00,0.00,0,7,2007,0,0,249700,3312,2,146,0,1,1,0
190,1,4456,0,0,0,0,0,0,2,0,0,4,1,4,5,1920,2008,0,0,2,1,0.00,0,0,2,0.00,0.00,0.00,0.00,0.00,736,0,2,0,0.00,736,1452,0,2,0,2,0,8,0,0,0.00,1.00,0,0,0.00,0.00,1,6,2009,1,1,113000,2188,2,102,0,0,1,0
20,0,7742,0,0,0,0,0,0,7,0,0,0,0,5,7,1966,1966,0,0,1,2,0.00,0,0,1,0.00,0.00,0.00,3.00,0.00,955,0,0,0,0.00,955,955,1,1,0,3,0,6,0,0,0.00,0.00,1,386,0.00,0.00,0,1,2007,0,0,127000,1910,2,0,0,1,1,0
60,0,13869,0,2,0,0,1,0,5,0,0,0,1,6,6,1997,1997,0,0,0,0,0.00,0,0,0,1.00,0.00,1.00,1.00,0.00,794,0,2,0,0.00,794,1470,0,2,0,3,0,6,0,0,0.00,2.00,2,388,0.00,0.00,0,7,2007,0,0,177000,2264,3,75,0,1,1,0
50,1,6240,0,0,0,0,0,0,10,0,0,0,2,6,6,1934,1950,0,0,3,3,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,816,0,1,0,0.00,816,1176,0,1,0,3,0,6,0,1,1.00,0.00,2,528,0.00,0.00,0,9,2006,0,0,114500,1632,1,112,0,1,1,1
90,1,8472,1,2,1,0,1,1,15,7,0,2,0,5,5,1963,1963,0,0,3,3,0.00,3,0,1,1.00,0.00,2.00,5.00,5.00,816,0,1,1,0.00,816,816,1,1,0,2,0,5,0,0,4.00,0.00,2,516,0.00,0.00,0,5,2010,0,0,110000,1632,2,106,0,1,1,0
20,0,50271,0,1,3,0,0,0,22,0,0,0,0,9,5,1981,1987,0,2,7,6,0.00,1,0,1,2.00,0.00,2.00,1.00,0.00,1842,0,2,0,0.00,1842,1842,2,0,1,0,1,5,0,1,0.00,2.00,3,894,0.00,0.00,0,11,2006,0,0,385000,3684,3,929,0,1,1,1
80,0,7134,0,0,1,0,0,1,0,0,0,0,3,5,5,1955,1955,0,0,2,1,0.00,0,0,1,0.00,0.00,0.00,2.00,0.00,384,0,1,0,0.00,1360,1360,0,1,0,3,0,6,2,1,1.00,0.00,2,572,0.00,0.00,0,2,2007,0,0,130000,1744,1,50,0,1,1,1
20,0,10175,0,1,0,0,0,0,0,0,0,0,0,6,5,1964,1964,0,0,1,4,1.00,0,0,1,0.00,0.00,0.00,3.00,0.00,1425,0,2,0,0.00,1425,1425,0,2,0,3,0,7,0,1,0.00,1.00,2,576,0.00,0.00,0,7,2008,0,0,180500,2850,2,407,0,1,1,1
160,2,2645,0,0,0,0,0,0,4,0,0,3,1,8,5,1999,2000,0,0,2,1,1.00,1,0,0,1.00,0.00,0.00,1.00,0.00,970,0,0,0,0.00,983,1739,1,2,1,3,1,7,0,0,0.00,2.00,2,480,0.00,0.00,0,8,2009,0,2,172500,2709,4,115,0,1,1,0
60,0,11645,0,1,0,0,1,0,1,0,0,0,1,7,5,2004,2004,0,0,0,0,0.00,1,0,0,1.00,0.00,0.00,0.00,0.00,860,0,0,0,0.00,860,1720,0,2,1,3,1,7,0,0,0.00,1.00,2,565,0.00,0.00,0,8,2006,0,0,196500,2580,3,70,0,1,1,0
60,0,13682,0,2,2,0,2,0,18,0,0,0,1,10,5,2006,2006,1,0,0,0,1.00,2,0,0,2.00,0.00,2.00,0.00,0.00,1410,0,0,0,0.00,1426,2945,0,3,1,3,1,10,0,1,2.00,2.00,3,641,0.00,0.00,0,10,2006,1,1,438780,4355,4,229,0,1,1,1
20,0,7200,0,0,1,0,0,0,1,0,0,0,0,5,7,1972,1972,0,0,1,2,0.00,0,0,1,0.00,0.00,1.00,2.00,0.00,780,0,0,0,0.00,780,780,0,1,0,2,0,4,0,0,1.00,0.00,1,352,0.00,0.00,0,1,2008,0,0,124900,1560,1,196,0,1,1,0
20,0,13072,0,0,0,0,0,0,9,5,0,0,0,6,5,2004,2004,0,0,0,0,0.00,0,0,0,1.00,0.00,0.00,2.00,0.00,1158,0,0,0,0.00,1158,1158,1,1,1,3,1,5,0,0,1.00,0.00,2,576,0.00,0.00,0,5,2006,1,1,158000,2316,3,50,0,1,1,0
75,1,7200,0,0,0,0,0,0,15,0,0,0,6,5,7,1920,1996,0,0,2,1,0.00,0,0,2,0.00,2.00,0.00,0.00,0.00,530,0,1,1,0.00,581,1111,0,1,0,3,3,6,0,0,1.00,0.00,1,288,0.00,0.00,1,3,2007,0,0,101000,1641,1,144,0,1,1,0
120,0,6442,0,1,0,0,0,0,6,0,0,1,0,8,5,2006,2006,0,0,0,0,2.00,1,0,0,1.00,1.00,3.00,1.00,0.00,1370,0,0,0,0.00,1370,1370,0,2,0,2,1,6,0,1,0.00,1.00,2,484,0.00,0.00,0,10,2007,0,0,202500,2740,2,169,0,1,1,1
70,1,10300,0,1,1,0,0,0,2,3,1,0,1,7,6,1921,1950,0,0,8,7,0.00,0,0,2,0.00,0.00,0.00,0.00,0.00,576,0,2,0,0.00,902,1710,0,2,0,3,0,9,0,0,1.00,0.00,2,480,0.00,0.00,0,4,2010,0,0,140000,2286,2,87,0,1,1,0
60,0,9375,0,0,0,0,0,0,1,0,0,0,1,7,5,1997,1998,0,0,0,0,1.00,0,0,0,1.00,0.00,0.00,1.00,0.00,1057,0,0,0,0.00,1057,2034,1,2,1,3,1,8,0,0,0.00,1.00,2,645,0.00,0.00,0,2,2009,0,0,219500,3091,4,612,0,1,1,0
60,0,9591,0,0,0,0,0,0,6,0,0,0,1,8,5,2004,2005,0,0,0,0,1.00,1,0,0,2.00,0.00,1.00,0.00,0.00,1143,0,0,0,0.00,1143,2473,0,2,1,4,1,9,0,1,2.00,1.00,3,852,0.00,0.00,0,10,2007,0,0,317000,3616,3,343,0,1,1,1
20,0,19900,0,0,0,0,0,0,0,6,0,0,0,7,5,1970,1989,0,0,4,4,1.00,0,0,1,1.00,0.00,2.00,1.00,0.00,1947,0,1,0,0.00,2207,2207,1,2,0,3,0,7,2,1,0.00,1.00,2,576,0.00,0.00,0,7,2010,0,0,180000,4154,3,301,0,1,1,1
20,0,10665,0,1,0,0,0,0,1,0,0,0,0,7,5,2003,2003,0,0,0,0,1.00,1,0,0,1.00,0.00,1.00,1.00,0.00,1453,0,0,0,0.00,1479,1479,1,2,0,3,1,7,0,0,0.00,1.00,2,558,0.00,0.00,0,6,2007,0,0,226000,2932,3,173,0,1,1,0
30,1,4608,0,0,0,0,1,0,2,2,0,0,0,4,6,1945,1950,0,0,2,1,0.00,0,1,1,0.00,0.00,0.00,0.00,0.00,747,0,1,0,0.00,747,747,0,1,0,2,0,4,0,0,0.00,0.00,1,220,0.00,0.00,0,6,2010,0,0,80000,1494,1,0,0,1,1,0
50,0,15593,0,0,0,0,1,0,16,0,0,0,2,7,4,1953,1953,0,0,6,9,0.00,1,0,1,0.00,0.00,0.00,3.00,0.00,1304,1,1,0,0.00,1304,2287,0,2,0,3,0,7,0,1,0.00,2.00,2,667,0.00,0.00,0,7,2006,0,0,225000,3591,2,135,0,1,1,1
20,0,13651,0,1,0,0,0,0,0,0,0,0,0,7,6,1973,1973,0,0,4,4,1.00,0,1,1,1.00,0.00,2.00,2.00,0.00,2223,0,0,0,0.00,2223,2223,1,2,0,3,0,8,0,2,0.00,2.00,2,516,0.00,0.00,0,2,2007,0,0,244000,4446,3,300,0,1,1,1
20,0,7599,0,0,0,0,1,0,12,0,0,0,0,4,6,1982,2006,0,0,1,4,0.00,0,0,1,0.00,0.00,0.00,2.00,0.00,845,0,1,0,0.00,845,845,1,1,0,2,0,4,0,0,1.00,0.00,2,360,0.00,0.00,0,6,2007,0,0,129500,1690,2,0,0,1,1,0
60,0,10141,0,1,0,0,1,0,5,0,0,0,1,7,5,1998,1998,0,0,0,0,1.00,0,0,0,1.00,0.00,0.00,0.00,0.00,832,0,2,0,0.00,885,1718,0,2,1,3,0,7,0,1,0.00,2.00,2,427,0.00,0.00,0,12,2009,0,0,185000,2550,3,385,0,1,1,1
20,0,10200,0,0,0,0,0,0,0,0,0,0,0,5,7,1954,2003,0,0,3,3,1.00,0,0,1,0.00,0.00,0.00,2.00,3.00,1086,0,2,0,0.00,1086,1086,1,1,0,3,0,6,0,0,0.00,0.00,2,490,0.00,0.00,0,5,2010,0,0,144900,2172,2,0,0,1,1,0
50,1,5790,0,0,0,0,1,0,2,0,0,0,1,3,6,1915,1950,3,0,0,0,0.00,1,1,1,3.00,0.00,0.00,0.00,0.00,840,0,2,1,0.00,840,1605,0,2,0,3,0,8,0,0,1.00,0.00,1,379,0.00,0.00,0,5,2010,0,0,107400,2445,2,202,0,1,1,0
180,1,1596,0,0,0,0,0,0,19,0,0,3,3,4,5,1973,1973,0,0,5,5,0.00,0,0,1,1.00,0.00,2.00,1.00,0.00,462,0,1,0,0.00,526,988,1,1,0,2,0,5,0,0,2.00,0.00,1,297,0.00,0.00,0,11,2009,0,0,91000,1450,2,221,0,1,1,0
20,0,8475,0,1,0,0,0,0,0,0,0,0,0,4,7,1956,1956,0,0,0,0,0.00,0,0,1,0.00,0.00,0.00,2.00,0.00,952,0,0,0,1.00,952,952,0,1,0,2,0,4,0,0,1.00,0.00,1,283,0.00,0.00,0,4,2008,0,0,135750,1904,1,0,0,1,1,0
50,1,8635,0,0,0,0,0,0,10,0,0,0,2,5,5,1948,2001,0,0,3,3,0.00,0,0,1,0.00,0.00,0.00,3.00,5.00,672,0,1,0,0.00,1072,1285,1,1,0,2,0,6,2,0,1.00,0.00,1,240,0.00,0.00,0,1,2008,0,0,127000,1957,2,0,0,1,1,0
90,0,10778,0,0,0,0,0,0,7,0,0,2,0,4,5,1968,1968,1,0,1,2,0.00,0,0,1,0.00,0.00,0.00,0.00,0.00,1768,0,1,1,0.00,1768,1768,0,2,0,4,0,8,0,0,0.00,1.00,0,0,0.00,0.00,0,4,2010,0,0,136500,3536,2,0,0,0,1,0
50,1,10440,0,0,0,0,1,0,2,0,0,0,1,5,6,1910,1981,0,0,3,3,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,440,0,2,0,0.00,682,1230,0,1,1,2,0,5,0,0,1.00,0.00,2,440,0.00,0.00,0,5,2009,0,0,110000,1670,2,202,0,1,1,0
60,0,13000,0,0,0,0,1,0,0,0,0,0,1,6,6,1968,1968,0,0,0,0,1.00,0,1,1,1.00,0.00,0.00,4.00,0.00,896,0,1,0,0.00,1182,2142,0,2,1,4,1,8,0,1,0.00,2.00,1,509,0.00,0.00,0,6,2009,0,0,193500,3038,3,324,0,1,1,1
120,1,4500,0,0,0,0,3,0,12,0,0,1,0,6,5,1998,1998,1,0,0,0,1.00,0,1,0,2.00,1.00,0.00,1.00,0.00,1237,0,0,0,0.00,1337,1337,1,2,0,2,0,5,0,0,0.00,2.00,2,405,0.00,0.00,0,3,2006,0,0,153500,2574,3,199,0,1,1,0
