"Id","MSSubClass","MSZoning","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","_stFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","PoolQC","Fence","MiscFeature","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotalSF","Total_Bathrooms","Total_porch_sf","haspool","hasgarage","hasbsmt","hasfireplace"
18,90,"0",10791,"0",,"0","0","0","0","0","7","0","0","2","0",4,5,1967,1967,"0","0","2","1","0","0","0","3",,,,,,0,"0","1","0","0",1296,1296,0,2,0,2,"0",6,"0",0,,"4","0",2,516,"0","0","0",,,"0",10,2006,"0","0",90000,1296,2,0,0,1,0,0
19,20,"0",13695,"0",,"0","0","0","0","0","9","5","0","0","0",5,5,2004,2004,"0","0","0","0","0","0","0","0","0","0","0","1","0",1114,"0","0","0","0",1114,1114,1,1,1,3,"1",6,"0",0,,"1","0",2,576,"0","0","0",,,,6,2008,"0","0",159000,2228,3,102,0,1,1,0
20,20,"0",7560,"0",,"0","0","0","0","0","0","0","0","0","0",5,6,1958,1965,"1","0","6","4","0","0","0","1","0","0","0","5","0",1029,"0","1","0","0",1339,1339,0,1,0,3,"0",6,"2",0,,"0","0",1,294,"0","0","0",,"0",,5,2009,"2","2",139000,2368,1,0,0,1,1,0
21,60,"0",14215,"0",,"1","0","0","1","0","6","0","0","0","1",8,5,2005,2006,"0","0","0","0","1","1","0","0","2","0","1","0","0",1158,"0","0","0","0",1158,2376,0,3,1,4,"1",9,"0",1,"0","2","1",3,853,"0","0","0",,,,11,2006,"1","1",325300,3534,4,394,0,1,1,1
22,45,"1",7449,"0","0","0","1","0","0","0","15","0","0","0","5",7,7,1930,1950,"0","0","3","3","0","0","0","0","0","0","0","0","0",637,"0","0","0","2",1108,1108,0,1,0,3,"1",6,"0",1,"0","0","0",1,280,"0","0","1",,"1",,6,2007,"0","0",139400,1745,1,205,0,1,1,1
23,20,"0",9742,"0",,"0","0","0","0","0","1","0","0","0","0",8,5,2002,2002,"1","0","0","0","1","1","0","0","1","0","0","0","0",1777,"0","0","0","0",1795,1795,0,2,0,3,"1",7,"0",1,"0","0","1",2,534,"0","0","0",,,,9,2008,"0","0",230000,3572,2,330,0,1,1,1
24,120,"1",4224,"0",,"0","0","0","0","0","19","0","0","1","0",5,7,1976,1976,"0","0","5","5","0","0","0","0","1","0","0","1","0",1040,"0","1","0","0",1060,1060,1,1,0,3,"0",6,"0",1,"1","0","0",2,572,"0","0","0",,,,6,2007,"0","0",129900,2100,2,210,0,1,1,1
25,20,"0",8246,"0",,"1","0","0","0","0","7","0","0","0","0",5,8,1968,2001,"0","0","4","4","0","0","1","1","0","0","3","4","4",1060,"0","0","0","0",1060,1060,1,1,0,3,"1",6,"0",1,"1","0","0",1,270,"0","0","0",,"0",,5,2010,"0","0",154000,2120,2,496,0,1,1,1
26,20,"0",14230,"0",,"0","0","0","1","0","6","0","0","0","0",8,5,2007,2007,"0","0","0","0","2","1","0","0","1","0","0","0","0",1566,"0","0","0","0",1600,1600,0,2,0,3,"1",7,"0",1,"0","0","1",3,890,"0","0","0",,,,7,2009,"0","0",256300,3166,2,56,0,1,1,1
27,20,"0",7200,"0",,"0","0","0","1","0","0","0","0","0","0",5,7,1951,2000,"0","0","3","3","0","0","0","1","0","0","3","3","1",900,"0","1","0","0",900,900,0,1,0,3,"1",5,"0",0,,"1","0",2,576,"0","0","0",,,,5,2010,"0","0",134800,1800,2,254,0,1,1,0
28,20,"0",11478,"0",,"0","0","0","0","0","6","0","0","0","0",8,5,2007,2008,"0","0","0","0","2","1","0","0","2","0","0","1","0",1704,"0","0","0","0",1704,1704,1,2,0,3,"1",7,"0",1,"0","0","1",3,772,"0","0","0",,,,5,2010,"0","0",306000,3408,3,50,0,1,1,1
29,20,"0",16321,"0",,"1","0","0","2","0","0","0","0","0","0",5,6,1957,1997,"0","0","2","1","0","0","0","1","0","0","2","3","0",1484,"0","1","0","0",1600,1600,1,1,0,2,"0",6,"0",2,"0","0","1",1,319,"0","0","0",,,,12,2006,"0","0",207500,3084,2,546,0,1,1,1
30,30,"1",6324,"0",,"1","0","0","0","0","10","1","4","0","0",4,6,1927,1950,"0","0","2","1","0","0","0","2","0","0","0","0","0",520,"0","3","1","0",520,520,0,1,0,1,"3",4,"0",0,,"1","0",1,240,"1","0","0",,,,5,2008,"0","0",68500,1040,1,136,0,1,1,0
31,70,"4",8500,"0","1","0","0","0","0","0","15","1","0","0","1",4,4,1920,1950,"3","0","6","8","0","0","2","2","0","0","0","0","0",649,"0","1","1","0",649,1317,0,1,0,3,"0",6,"0",0,,"1","0",1,250,"0","1","1",,"0",,7,2008,"0","0",40000,1966,1,226,0,1,1,0
32,20,"0",8544,"0",,"1","0","0","2","0","7","0","0","0","0",5,6,1966,2006,"0","0","1","2","0","0","0","1","0","0","0","0","0",1228,"0","2","0","0",1228,1228,0,1,1,3,"1",6,"0",0,,"0","0",1,271,"0","0","0",,"0",,6,2008,"0","0",149350,2456,2,65,0,1,1,0
33,20,"0",11049,"0",,"0","0","0","1","0","1","0","0","0","0",8,5,2007,2007,"0","0","0","0","0","1","0","0","2","0","1","0","0",1234,"0","0","0","0",1234,1234,0,2,0,3,"1",7,"0",0,,"0","1",2,484,"0","0","0",,,,1,2008,"0","0",179900,2468,2,30,0,1,1,0
34,20,"0",10552,"0",,"1","0","0","0","0","0","0","0","0","0",5,5,1959,1959,"1","0","6","8","0","0","0","1","0","0","0","4","0",1398,"0","2","0","0",1700,1700,0,1,1,4,"1",6,"0",1,"0","0","1",2,447,"0","0","0",,,,4,2010,"0","0",165500,3098,2,38,0,1,1,1
35,120,"0",7313,"0",,"0","0","0","0","0","6","0","0","1","0",9,5,2005,2005,"1","0","2","1","1","2","0","0","2","0","0","1","0",1561,"0","0","0","0",1561,1561,1,2,0,2,"2",6,"0",1,"0","0","2",2,556,"0","0","0",,,,8,2007,"0","0",277500,3122,3,250,0,1,1,1
36,60,"0",13418,"0",,"0","0","0","0","0","6","0","0","0","1",8,5,2004,2005,"0","0","0","0","2","1","0","0","2","0","1","0","0",1117,"0","0","0","0",1132,2452,0,3,1,4,"1",9,"0",1,"0","2","2",3,691,"0","0","0",,,,9,2006,"0","0",309000,3569,4,145,0,1,1,1
37,20,"0",10859,"0",,"0","0","0","1","0","1","0","0","0","0",5,5,1994,1995,"0","0","0","0","0","0","0","0","1","0","0","0","0",1097,"0","0","0","0",1097,1097,0,1,1,3,"0",6,"0",0,,"0","0",2,672,"0","0","0",,,,6,2009,"0","0",145000,2194,2,456,0,1,1,0
38,20,"0",8532,"0",,"0","0","0","0","0","0","0","0","0","0",5,6,1954,1990,"1","0","3","3","1","0","0","1","0","0","0","4","0",1297,"0","2","0","0",1297,1297,0,1,0,3,"0",5,"0",1,"1","0","2",2,498,"0","0","0",,,,10,2009,"0","0",153000,2594,2,0,0,1,1,1
39,20,"0",7922,"0",,"0","0","0","0","0","0","0","0","0","0",5,7,1953,2007,"0","0","0","0","0","0","1","1","0","0","0","1","0",1057,"0","1","0","0",1057,1057,1,1,0,3,"1",5,"0",0,,"1","0",1,246,"0","0","0",,,,1,2010,"0","2",109000,2114,2,52,0,1,1,0
40,90,"0",6040,"0",,"0","0","0","0","0","3","0","0","2","0",4,5,1955,1955,"0","0","9","4","0","0","0","0",,,,,,0,"0","1","1","3",1152,1152,0,2,0,2,"3",6,"0",0,,,,0,0,,,"1",,,,6,2008,"0","5",82000,1152,2,0,0,0,0,0
41,20,"0",8658,"0",,"0","0","0","0","0","0","0","0","0","0",6,5,1965,1965,"0","0","3","3","1","0","0","1","0","0","0","4","0",1088,"0","0","0","0",1324,1324,0,2,0,3,"0",6,"0",1,"1","0","1",2,440,"0","0","0",,"2",,12,2006,"0","2",160000,2412,2,138,0,1,1,1
42,20,"0",16905,"0",,"0","0","0","0","0","14","0","0","0","0",5,6,1959,1959,"0","0","0","0","0","0","1","1","0","0","2","3","0",1350,"0","2","0","0",1328,1328,0,1,1,2,"0",5,"0",2,"0","0","1",1,308,"0","0","2",,,,7,2007,"0","0",170000,2678,2,104,0,1,1,1
43,85,"0",9180,"0",,"1","0","0","2","0","9","0","0","0","4",5,7,1983,1983,"0","0","1","2","0","0","0","1","1","0","1","2","2",840,"0","2","0","0",884,884,1,1,0,2,"1",5,"0",0,,"0","1",2,504,"0","2","0",,"0",,12,2007,"0","0",144000,1724,2,240,0,1,1,0
44,20,"0",9200,"0",,"1","0","0","2","0","1","0","0","0","0",5,6,1975,1980,"1","0","0","0","0","0","0","1","1","0","1","5","3",938,"0","1","0","0",938,938,1,1,0,3,"0",5,"0",0,,"1","0",1,308,"0","0","0",,"0",,7,2008,"0","0",130250,1876,2,145,0,1,1,0
45,20,"0",7945,"0",,"0","0","0","0","0","0","0","0","0","0",5,6,1959,1959,"0","0","6","3","0","0","0","1","0","0","0","2","3",1150,"0","0","0","1",1150,1150,1,1,0,3,"0",6,"0",0,,"0","1",1,300,"0","0","0",,,,5,2006,"0","0",141000,2300,2,0,0,1,1,0
46,120,"0",7658,"0",,"0","0","0","0","0","6","0","0","1","0",9,5,2005,2005,"1","0","2","1","1","2","0","0","2","0","0","1","0",1752,"0","0","0","0",1752,1752,1,2,0,2,"2",6,"0",1,"0","0","1",2,576,"0","0","0",,,,2,2010,"0","0",319900,3504,3,278,0,1,1,1
47,50,"0",12822,"0",,"1","0","0","2","0","12","0","0","0","2",7,5,2003,2003,"0","0","0","0","0","1","0","0","2","0","0","1","0",1434,"0","0","0","0",1518,2149,1,1,1,1,"1",6,"0",1,"3","0","1",2,670,"0","0","0",,,,8,2009,"0","2",239686,3583,3,409,0,1,1,1
48,20,"2",11096,"0",,"0","0","0","0","0","4","0","0","0","0",8,5,2006,2006,"0","0","0","0","0","1","0","0","1","0","1","1","0",1656,"0","0","0","0",1656,1656,0,2,0,3,"1",7,"0",0,,"0","1",3,826,"0","0","0",,,,7,2007,"0","0",249700,3312,2,146,0,1,1,0
49,190,"1",4456,"0",,"0","0","0","0","0","2","0","0","4","1",4,5,1920,2008,"0","0","2","1","0","0","0","2","0","0","0","0","0",736,"0","2","0","0",736,1452,0,2,0,2,"0",8,"0",0,,,,0,0,,,"1",,,,6,2009,"1","1",113000,2188,2,102,0,0,1,0
50,20,"0",7742,"0",,"0","0","0","0","0","7","0","0","0","0",5,7,1966,1966,"0","0","1","2","0","0","0","1","0","0","0","3","0",955,"0","0","0","0",955,955,1,1,0,3,"0",6,"0",0,,"0","0",1,386,"0","0","0",,"0",,1,2007,"0","0",127000,1910,2,0,0,1,1,0
51,60,"0",13869,"0",,"2","0","0","1","0","5","0","0","0","1",6,6,1997,1997,"0","0","0","0","0","0","0","0","1","0","1","1","0",794,"0","2","0","0",794,1470,0,2,0,3,"0",6,"0",0,,"0","2",2,388,"0","0","0",,,,7,2007,"0","0",177000,2264,3,75,0,1,1,0
52,50,"1",6240,"0",,"0","0","0","0","0","10","0","0","0","2",6,6,1934,1950,"0","0","3","3","0","0","0","0","0","0","0","0","0",816,"0","1","0","0",816,1176,0,1,0,3,"0",6,"0",1,"0","1","0",2,528,"0","0","0",,"0","0",9,2006,"0","0",114500,1632,1,112,0,1,1,1
53,90,"1",8472,"1",,"2","1","0","1","1","15","7","0","2","0",5,5,1963,1963,"0","0","3","3","0","3","0","1","1","0","2","5","5",816,"0","1","1","0",816,816,1,1,0,2,"0",5,"0",0,,"4","0",2,516,"0","0","0",,,,5,2010,"0","0",110000,1632,2,106,0,1,1,0
54,20,"0",50271,"0",,"1","3","0","0","0","22","0","0","0","0",9,5,1981,1987,"0","2","7","6","0","1","0","1","2","0","2","1","0",1842,"0","2","0","0",1842,1842,2,0,1,0,"1",5,"0",1,"0","0","2",3,894,"0","0","0",,,,11,2006,"0","0",385000,3684,3,929,0,1,1,1
55,80,"0",7134,"0",,"0","1","0","0","1","0","0","0","0","3",5,5,1955,1955,"0","0","2","1","0","0","0","1","0","0","0","2","0",384,"0","1","0","0",1360,1360,0,1,0,3,"0",6,"2",1,"1","1","0",2,572,"0","0","0",,"0",,2,2007,"0","0",130000,1744,1,50,0,1,1,1
56,20,"0",10175,"0",,"1","0","0","0","0","0","0","0","0","0",6,5,1964,1964,"0","0","1","4","1","0","0","1","0","0","0","3","0",1425,"0","2","0","0",1425,1425,0,2,0,3,"0",7,"0",1,"0","0","1",2,576,"0","0","0",,,,7,2008,"0","0",180500,2850,2,407,0,1,1,1
57,160,"2",2645,"0","1","0","0","0","0","0","4","0","0","3","1",8,5,1999,2000,"0","0","2","1","1","1","0","0","1","0","0","1","0",970,"0","0","0","0",983,1739,1,2,1,3,"1",7,"0",0,,"0","2",2,480,"0","0","0",,,,8,2009,"0","2",172500,2709,4,115,0,1,1,0
58,60,"0",11645,"0",,"1","0","0","1","0","1","0","0","0","1",7,5,2004,2004,"0","0","0","0","0","1","0","0","1","0","0","0","0",860,"0","0","0","0",860,1720,0,2,1,3,"1",7,"0",0,,"0","1",2,565,"0","0","0",,,,8,2006,"0","0",196500,2580,3,70,0,1,1,0
59,60,"0",13682,"0",,"2","2","0","2","0","18","0","0","0","1",10,5,2006,2006,"1","0","0","0","1","2","0","0","2","0","2","0","0",1410,"0","0","0","0",1426,2945,0,3,1,3,"1",10,"0",1,"0","2","2",3,641,"0","0","0",,,,10,2006,"1","1",438780,4355,4,229,0,1,1,1
60,20,"0",7200,"0",,"0","1","0","0","0","1","0","0","0","0",5,7,1972,1972,"0","0","1","2","0","0","0","1","0","0","1","2","0",780,"0","0","0","0",780,780,0,1,0,2,"0",4,"0",0,,"1","0",1,352,"0","0","0",,"0",,1,2008,"0","0",124900,1560,1,196,0,1,1,0
61,20,"0",13072,"0",,"0","0","0","0","0","9","5","0","0","0",6,5,2004,2004,"0","0","0","0","0","0","0","0","1","0","0","2","0",1158,"0","0","0","0",1158,1158,1,1,1,3,"1",5,"0",0,,"1","0",2,576,"0","0","0",,,,5,2006,"1","1",158000,2316,3,50,0,1,1,0
62,75,"1",7200,"0",,"0","0","0","0","0","15","0","0","0","6",5,7,1920,1996,"0","0","2","1","0","0","0","2","0","2","0","0","0",530,"0","1","1","0",581,1111,0,1,0,3,"3",6,"0",0,,"1","0",1,288,"0","0","1",,,,3,2007,"0","0",101000,1641,1,144,0,1,1,0
63,120,"0",6442,"0",,"1","0","0","0","0","6","0","0","1","0",8,5,2006,2006,"0","0","0","0","2","1","0","0","1","1","3","1","0",1370,"0","0","0","0",1370,1370,0,2,0,2,"1",6,"0",1,"0","0","1",2,484,"0","0","0",,,,10,2007,"0","0",202500,2740,2,169,0,1,1,1
64,70,"1",10300,"0",,"1","1","0","0","0","2","3","1","0","1",7,6,1921,1950,"0","0","8","7","0","0","0","2","0","0","0","0","0",576,"0","2","0","0",902,1710,0,2,0,3,"0",9,"0",0,,"1","0",2,480,"0","0","0",,"1",,4,2010,"0","0",140000,2286,2,87,0,1,1,0
65,60,"0",9375,"0",,"0","0","0","0","0","1","0","0","0","1",7,5,1997,1998,"0","0","0","0","1","0","0","0","1","0","0","1","0",1057,"0","0","0","0",1057,2034,1,2,1,3,"1",8,"0",0,,"0","1",2,645,"0","0","0",,"1",,2,2009,"0","0",219500,3091,4,612,0,1,1,0
66,60,"0",9591,"0",,"0","0","0","0","0","6","0","0","0","1",8,5,2004,2005,"0","0","0","0","1","1","0","0","2","0","1","0","0",1143,"0","0","0","0",1143,2473,0,2,1,4,"1",9,"0",1,"0","2","1",3,852,"0","0","0",,,,10,2007,"0","0",317000,3616,3,343,0,1,1,1
67,20,"0",19900,"0",,"0","0","0","0","0","0","6","0","0","0",7,5,1970,1989,"0","0","4","4","1","0","0","1","1","0","2","1","0",1947,"0","1","0","0",2207,2207,1,2,0,3,"0",7,"2",1,"0","0","1",2,576,"0","0","0",,,,7,2010,"0","0",180000,4154,3,301,0,1,1,1
68,20,"0",10665,"0",,"1","0","0","0","0","1","0","0","0","0",7,5,2003,2003,"0","0","0","0","1","1","0","0","1","0","1","1","0",1453,"0","0","0","0",1479,1479,1,2,0,3,"1",7,"0",0,,"0","1",2,558,"0","0","0",,,,6,2007,"0","0",226000,2932,3,173,0,1,1,0
69,30,"1",4608,"0",,"0","0","0","1","0","2","2","0","0","0",4,6,1945,1950,"0","0","2","1","0","0","1","1","0","0","0","0","0",747,"0","1","0","0",747,747,0,1,0,2,"0",4,"0",0,,"0","0",1,220,"0","0","0",,,,6,2010,"0","0",80000,1494,1,0,0,1,1,0
70,50,"0",15593,"0",,"0","0","0","1","0","16","0","0","0","2",7,4,1953,1953,"0","0","6","9","0","1","0","1","0","0","0","3","0",1304,"1","1","0","0",1304,2287,0,2,0,3,"0",7,"0",1,"1","0","2",2,667,"0","0","0",,,,7,2006,"0","0",225000,3591,2,135,0,1,1,1
71,20,"0",13651,"0",,"1","0","0","0","0","0","0","0","0","0",7,6,1973,1973,"0","0","4","4","1","0","1","1","1","0","2","2","0",2223,"0","0","0","0",2223,2223,1,2,0,3,"0",8,"0",2,"0","0","2",2,516,"0","0","0",,,,2,2007,"0","0",244000,4446,3,300,0,1,1,1
72,20,"0",7599,"0",,"0","0","0","1","0","12","0","0","0","0",4,6,1982,2006,"0","0","1","4","0","0","0","1","0","0","0","2","0",845,"0","1","0","0",845,845,1,1,0,2,"0",4,"0",0,,"1","0",2,360,"0","0","0",,,,6,2007,"0","0",129500,1690,2,0,0,1,1,0
73,60,"0",10141,"0",,"1","0","0","1","0","5","0","0","0","1",7,5,1998,1998,"0","0","0","0","1","0","0","0","1","0","0","0","0",832,"0","2","0","0",885,1718,0,2,1,3,"0",7,"0",1,"1","0","2",2,427,"0","0","0",,,,12,2009,"0","0",185000,2550,3,385,0,1,1,1
74,20,"0",10200,"0",,"0","0","0","0","0","0","0","0","0","0",5,7,1954,2003,"0","0","3","3","1","0","0","1","0","0","0","2","3",1086,"0","2","0","0",1086,1086,1,1,0,3,"0",6,"0",0,,"0","0",2,490,"0","0","0",,"2",,5,2010,"0","0",144900,2172,2,0,0,1,1,0
75,50,"1",5790,"0",,"0","0","0","1","0","2","0","0","0","1",3,6,1915,1950,"3","0","0","0","0","1","1","1","3","0","0","0","0",840,"0","2","1","0",840,1605,0,2,0,3,"0",8,"0",0,,"1","0",1,379,"0","0","0",,,,5,2010,"0","0",107400,2445,2,202,0,1,1,0
76,180,"1",1596,"0",,"0","0","0","0","0","19","0","0","3","3",4,5,1973,1973,"0","0","5","5","0","0","0","1","1","0","2","1","0",462,"0","1","0","0",526,988,1,1,0,2,"0",5,"0",0,,"2","0",1,297,"0","0","0",,"2",,11,2009,"0","0",91000,1450,2,221,0,1,1,0
77,20,"0",8475,"0",,"1","0","0","0","0","0","0","0","0","0",4,7,1956,1956,"0","0","0","0","0","0","0","1","0","0","0","2","0",952,"0","0","0","1",952,952,0,1,0,2,"0",4,"0",0,,"1","0",1,283,"0","0","0",,,,4,2008,"0","0",135750,1904,1,0,0,1,1,0
78,50,"1",8635,"0",,"0","0","0","0","0","10","0","0","0","2",5,5,1948,2001,"0","0","3","3","0","0","0","1","0","0","0","3","5",672,"0","1","0","0",1072,1285,1,1,0,2,"0",6,"2",0,,"1","0",1,240,"0","0","0",,"0",,1,2008,"0","0",127000,1957,2,0,0,1,1,0
79,90,"0",10778,"0",,"0","0","0","0","0","7","0","0","2","0",4,5,1968,1968,"1","0","1","2","0","0","0","1","0","0","0","0","0",1768,"0","1","1","0",1768,1768,0,2,0,4,"0",8,"0",0,,,,0,0,,,"0",,,,4,2010,"0","0",136500,3536,2,0,0,0,1,0
80,50,"1",10440,"0","0","0","0","0","1","0","2","0","0","0","1",5,6,1910,1981,"0","0","3","3","0","0","0","0","0","0","0","0","0",440,"0","2","0","0",682,1230,0,1,1,2,"0",5,"0",0,,"1","0",2,440,"0","0","0",,"0",,5,2009,"0","0",110000,1670,2,202,0,1,1,0
81,60,"0",13000,"0",,"0","0","0","1","0","0","0","0","0","1",6,6,1968,1968,"0","0","0","0","1","0","1","1","1","0","0","4","0",896,"0","1","0","0",1182,2142,0,2,1,4,"1",8,"0",1,"0","0","2",1,509,"0","0","0",,,,6,2009,"0","0",193500,3038,3,324,0,1,1,1
82,120,"1",4500,"0",,"0","0","0","3","0","12","0","0","1","0",6,5,1998,1998,"1","0","0","0","1","0","1","0","2","1","0","1","0",1237,"0","0","0","0",1337,1337,1,2,0,2,"0",5,"0",0,,"0","2",2,405,"0","0","0",,,,3,2006,"0","0",153500,2574,3,199,0,1,1,0
83,20,"0",10206,"0",,"0","0","0","0","0","4","0","0","0","0",8,5,2007,2007,"0","0","0","0","2","0","0","0","1","0","0","1","0",1563,"0","0","0","0",1563,1563,0,2,0,3,"1",6,"0",1,"0","0","1",3,758,"0","0","0",,,,10,2008,"0","0",245000,3126,2,243,0,1,1,1
